--- Arvore geradora minima de 20---
20 ~> 335 | dist: 1.46
20 ~> 336 | dist: 3.36
20 ~> 337 | dist: 2.49
20 ~> 338 | dist: 2.07
20 ~> 339 | dist: 1.97
20 ~> 340 | dist: 2.16
20 ~> 341 | dist: 2.49
20 ~> 342 | dist: 2.01
20 ~> 343 | dist: 2.67
20 ~> 344 | dist: 2.73
20 ~> 345 | dist: 2.46
20 ~> 346 | dist: 2.49
20 ~> 347 | dist: 2.03
20 ~> 348 | dist: 2.10
20 ~> 349 | dist: 2.81
20 ~> 350 | dist: 2.41
20 ~> 351 | dist: 2.24
20 ~> 352 | dist: 2.95
20 ~> 353 | dist: 1.86
20 ~> 354 | dist: 2.24
20 ~> 355 | dist: 1.41
20 ~> 356 | dist: 1.83
20 ~> 357 | dist: 2.24
20 ~> 358 | dist: 2.64
20 ~> 359 | dist: 1.87
20 ~> 360 | dist: 2.04
20 ~> 361 | dist: 1.59
20 ~> 362 | dist: 2.10
20 ~> 363 | dist: 1.89
20 ~> 364 | dist: 2.67
20 ~> 365 | dist: 2.31
20 ~> 366 | dist: 1.85
20 ~> 367 | dist: 2.14
20 ~> 368 | dist: 2.02
20 ~> 369 | dist: 2.16
20 ~> 370 | dist: 2.74
20 ~> 371 | dist: 3.15
20 ~> 372 | dist: 1.83
20 ~> 373 | dist: 2.72
20 ~> 374 | dist: 1.64
20 ~> 375 | dist: 2.19
20 ~> 376 | dist: 2.75
20 ~> 377 | dist: 2.45
20 ~> 378 | dist: 1.72
20 ~> 379 | dist: 2.47
20 ~> 380 | dist: 1.95
20 ~> 381 | dist: 2.40
20 ~> 382 | dist: 1.63
20 ~> 383 | dist: 1.87
20 ~> 384 | dist: 2.81
20 ~> 385 | dist: 1.77
20 ~> 386 | dist: 2.53
20 ~> 387 | dist: 2.00
20 ~> 388 | dist: 2.54
20 ~> 389 | dist: 3.14
20 ~> 390 | dist: 1.45
20 ~> 391 | dist: 2.11
20 ~> 392 | dist: 2.19
20 ~> 393 | dist: 2.34
20 ~> 394 | dist: 1.69
20 ~> 395 | dist: 1.95
20 ~> 396 | dist: 2.28
20 ~> 397 | dist: 2.14
20 ~> 398 | dist: 2.61
20 ~> 399 | dist: 2.23
20 ~> 400 | dist: 2.16
20 ~> 401 | dist: 1.96
20 ~> 402 | dist: 3.22
20 ~> 403 | dist: 2.30
20 ~> 404 | dist: 1.89
20 ~> 405 | dist: 2.74
20 ~> 406 | dist: 2.81
20 ~> 407 | dist: 2.16
20 ~> 408 | dist: 2.43
20 ~> 409 | dist: 1.80
20 ~> 410 | dist: 1.70
