--- Arvore geradora minima de 10---
10 ~> 275 | dist: 1.83
10 ~> 276 | dist: 2.17
10 ~> 277 | dist: 2.87
10 ~> 278 | dist: 2.61
10 ~> 279 | dist: 2.78
10 ~> 280 | dist: 2.01
10 ~> 281 | dist: 2.03
10 ~> 282 | dist: 1.32
10 ~> 283 | dist: 2.55
10 ~> 284 | dist: 1.71
10 ~> 285 | dist: 2.39
10 ~> 286 | dist: 2.16
10 ~> 287 | dist: 1.69
10 ~> 288 | dist: 2.48
10 ~> 289 | dist: 2.87
10 ~> 290 | dist: 2.49
10 ~> 291 | dist: 1.96
10 ~> 292 | dist: 2.18
10 ~> 293 | dist: 2.34
10 ~> 294 | dist: 2.24
10 ~> 295 | dist: 2.74
10 ~> 296 | dist: 2.03
10 ~> 297 | dist: 3.10
10 ~> 298 | dist: 2.26
10 ~> 299 | dist: 2.53
10 ~> 300 | dist: 2.62
10 ~> 301 | dist: 2.18
10 ~> 302 | dist: 2.47
10 ~> 303 | dist: 2.46
10 ~> 304 | dist: 2.34
10 ~> 305 | dist: 1.52
10 ~> 306 | dist: 1.13
10 ~> 307 | dist: 2.29
10 ~> 308 | dist: 2.07
10 ~> 309 | dist: 2.14
10 ~> 310 | dist: 2.65
10 ~> 311 | dist: 2.73
10 ~> 312 | dist: 3.13
10 ~> 313 | dist: 1.91
10 ~> 314 | dist: 1.53
10 ~> 315 | dist: 1.63
10 ~> 316 | dist: 1.77
10 ~> 317 | dist: 2.80
10 ~> 318 | dist: 1.67
10 ~> 319 | dist: 2.48
10 ~> 320 | dist: 1.61
10 ~> 321 | dist: 2.68
10 ~> 322 | dist: 2.81
10 ~> 323 | dist: 2.28
10 ~> 324 | dist: 2.61
10 ~> 325 | dist: 2.17
10 ~> 326 | dist: 2.74
10 ~> 327 | dist: 2.59
10 ~> 328 | dist: 1.92
10 ~> 329 | dist: 1.95
10 ~> 330 | dist: 2.38
10 ~> 331 | dist: 2.42
10 ~> 332 | dist: 1.98
10 ~> 333 | dist: 2.43
10 ~> 334 | dist: 1.95
10 ~> 335 | dist: 1.89
10 ~> 336 | dist: 3.07
10 ~> 337 | dist: 2.60
10 ~> 338 | dist: 1.80
10 ~> 339 | dist: 2.15
10 ~> 340 | dist: 2.22
10 ~> 341 | dist: 1.85
10 ~> 342 | dist: 2.20
10 ~> 343 | dist: 2.32
10 ~> 344 | dist: 2.95
10 ~> 345 | dist: 2.64
10 ~> 346 | dist: 1.86
