--- Arvore geradora minima de 1---
1 ~> 459 | dist: 2.56
1 ~> 460 | dist: 2.38
1 ~> 461 | dist: 1.94
1 ~> 462 | dist: 2.06
1 ~> 463 | dist: 2.34
1 ~> 464 | dist: 2.54
1 ~> 465 | dist: 1.85
1 ~> 466 | dist: 3.28
1 ~> 467 | dist: 1.94
1 ~> 468 | dist: 3.74
1 ~> 469 | dist: 2.79
1 ~> 470 | dist: 2.17
1 ~> 471 | dist: 1.99
1 ~> 472 | dist: 2.43
1 ~> 473 | dist: 2.83
1 ~> 474 | dist: 1.63
1 ~> 475 | dist: 1.91
1 ~> 476 | dist: 2.41
1 ~> 477 | dist: 2.59
1 ~> 478 | dist: 2.49
1 ~> 479 | dist: 2.03
1 ~> 480 | dist: 2.76
1 ~> 481 | dist: 2.24
1 ~> 482 | dist: 2.04
1 ~> 483 | dist: 2.12
1 ~> 484 | dist: 2.70
1 ~> 485 | dist: 2.56
1 ~> 486 | dist: 2.53
1 ~> 487 | dist: 2.34
1 ~> 488 | dist: 1.45
1 ~> 489 | dist: 1.44
1 ~> 490 | dist: 2.48
1 ~> 491 | dist: 2.40
1 ~> 492 | dist: 3.10
1 ~> 493 | dist: 2.54
1 ~> 494 | dist: 2.48
1 ~> 495 | dist: 2.20
1 ~> 496 | dist: 2.09
1 ~> 497 | dist: 2.45
1 ~> 498 | dist: 3.10
1 ~> 499 | dist: 2.42
1 ~> 500 | dist: 2.15
1 ~> 501 | dist: 1.72
1 ~> 502 | dist: 2.08
1 ~> 503 | dist: 1.86
1 ~> 504 | dist: 2.22
1 ~> 505 | dist: 2.50
1 ~> 506 | dist: 2.13
1 ~> 507 | dist: 1.73
1 ~> 508 | dist: 2.39
1 ~> 509 | dist: 2.21
1 ~> 510 | dist: 1.22
1 ~> 511 | dist: 2.11
1 ~> 512 | dist: 2.46
1 ~> 513 | dist: 2.49
1 ~> 514 | dist: 1.52
1 ~> 515 | dist: 2.20
1 ~> 516 | dist: 2.55
